Computed Missing Max Age,Race / Ethnicity,Date Of Last Contact,State Of Last Contact,Gender
32.0,White / Caucasian,9/9/84,CA,Male
50.0,Hispanic / Latino,3/20/11,AZ,Male
34.0,Hispanic / Latino,8/30/11,AZ,Male
39.0,Hispanic / Latino,12/8/11,AZ,Male
45.0,Hispanic / Latino,5/10/05,AZ,Male
16.0,Hispanic / Latino,5/10/12,AZ,Male
33.0,White / Caucasian,9/2/75,TX,Male
23.0,White / Caucasian,8/25/86,TX,Male
30.0,White / Caucasian,12/21/10,FL,Male
18.0,White / Caucasian,3/10/83,NC,Female
28.0,White / Caucasian,10/15/08,FL,Male
35.0,White / Caucasian,8/4/88,CA,Male
36.0,White / Caucasian,6/9/83,HI,Male
52.0,White / Caucasian,11/19/16,MD,Male
54.0,White / Caucasian,2/23/82,FL,Male
36.0,Hispanic / Latino,8/14/14,TX,Male
49.0,White / Caucasian,12/13/13,AR,Male
31.0,White / Caucasian,12/23/13,AR,Male
49.0,White / Caucasian;Hispanic / Latino,7/7/92,CA,Male
34.0,White / Caucasian,7/10/11,MS,Male
32.0,White / Caucasian;Hispanic / Latino,3/14/07,AZ,Male
16.0,Black / African American,5/15/13,MI,Female
38.0,White / Caucasian,5/29/83,OR,Male
17.0,Hispanic / Latino,6/8/13,MA,Male
30.0,White / Caucasian,5/1/79,CA,Male
33.0,White / Caucasian;Hispanic / Latino,1/19/05,FL,Female
37.0,White / Caucasian,2/2/11,OH,Female
61.0,White / Caucasian,4/7/82,NM,Female
80.0,White / Caucasian,8/3/73,VA,Male
28.0,White / Caucasian;Hispanic / Latino,5/8/17,AZ,Male
31.0,Black / African American,1/10/88,NY,Male
18.0,Asian,9/14/17,OH,Male
46.0,White / Caucasian,11/1/91,TX,Male
64.0,White / Caucasian,8/7/15,CO,Female
28.0,Hispanic / Latino,8/12/07,CA,Male
18.0,White / Caucasian,4/10/73,VA,Female
19.0,White / Caucasian,6/18/13,IN,Female
46.0,White / Caucasian,11/15/15,NY,Female
20.0,White / Caucasian,8/7/15,HI,Male
23.0,White / Caucasian,1/28/85,VT,Male
51.0,White / Caucasian,11/26/12,OR,Female
49.0,White / Caucasian,9/13/99,WA,Male
34.0,White / Caucasian,12/17/93,CA,Male
24.0,Asian,11/26/90,MD,Female
31.0,Hispanic / Latino;Uncertain,10/1/99,CA,Female
54.0,White / Caucasian,3/9/12,IN,Male
30.0,Black / African American,1/23/11,LA,Female
21.0,White / Caucasian,7/26/11,CA,Male
59.0,Asian,3/19/17,HI,Male
59.0,White / Caucasian,8/16/93,IL,Male
44.0,White / Caucasian;Hispanic / Latino,10/1/15,WA,Male
5.0,White / Caucasian,6/22/90,HI,Female
27.0,Black / African American,3/14/16,FL,Female
18.0,Black / African American,8/25/93,PA,Male
30.0,White / Caucasian,5/1/93,AZ,Male
76.0,White / Caucasian,7/31/17,MO,Male
18.0,White / Caucasian,6/6/17,TN,Female
38.0,Black / African American,11/18/14,NY,Female
39.0,White / Caucasian,5/30/15,NC,Female
57.0,Black / African American,2/13/13,OH,Male
49.0,White / Caucasian,7/10/15,FL,Female
21.0,White / Caucasian,6/3/81,OH,Male
35.0,Black / African American,5/20/10,MI,Male
22.0,White / Caucasian,9/21/13,NY,Female
5.0,Other,4/1/13,AK,Male
46.0,Black / African American,11/16/13,MI,Female
31.0,White / Caucasian,4/1/08,IA,Male
42.0,White / Caucasian,5/15/13,CA,Male
41.0,Hispanic / Latino,4/10/13,AZ,Male
2.0,Asian,6/2/07,NJ,Female
50.0,White / Caucasian,9/8/17,GA,Female
37.0,White / Caucasian,11/23/79,WA,Male
42.0,Native American / Alaskan Native,2/14/12,AZ,Male
61.0,White / Caucasian,7/30/10,CO,Male
32.0,White / Caucasian;Hispanic / Latino,7/12/11,AZ,Male
52.0,White / Caucasian,5/31/10,VA,Male
32.0,White / Caucasian,5/28/81,TX,Female
31.0,White / Caucasian,8/30/92,FL,Female
41.0,White / Caucasian,2/20/11,OK,Female
52.0,White / Caucasian,1/2/95,OR,Male
27.0,White / Caucasian,12/1/71,CA,Male
46.0,White / Caucasian,7/23/12,MO,Male
52.0,White / Caucasian,3/14/14,ID,Male
27.0,White / Caucasian,8/7/87,WA,Male
37.0,White / Caucasian,2/8/94,AZ,Male
28.0,White / Caucasian,1/1/58,AZ,Male
41.0,White / Caucasian,1/7/12,NY,Male
47.0,White / Caucasian,6/22/61,PA,Female
40.0,Hispanic / Latino,6/18/14,TX,Female
50.0,White / Caucasian,9/4/15,TN,Male
54.0,Native American / Alaskan Native,6/23/16,OK,Male
28.0,White / Caucasian,7/4/77,OH,Female
43.0,White / Caucasian,9/3/15,OR,Female
26.0,White / Caucasian,5/4/15,TX,Male
53.0,White / Caucasian,9/27/10,IL,Female
15.0,White / Caucasian,4/1/88,LA,Female
53.0,White / Caucasian,6/30/08,CO,Female
3.0,Hispanic / Latino,8/15/08,CA,Male
27.0,Hispanic / Latino;Native American / Alaskan Native,8/1/11,NM,Male
29.0,White / Caucasian,3/5/05,CA,Male
20.0,Black / African American,6/30/98,MI,Male
18.0,White / Caucasian,11/8/69,AZ,Male
65.0,White / Caucasian,2/24/81,CA,Female
36.0,Hispanic / Latino,9/22/05,AZ,Male
20.0,Black / African American,6/14/16,NJ,Female
14.0,White / Caucasian,6/10/16,OR,Male
44.0,White / Caucasian,2/7/88,MI,Male
38.0,White / Caucasian,1/21/92,PA,Male
22.0,White / Caucasian;Hispanic / Latino,2/9/17,NM,Female
31.0,White / Caucasian,8/14/52,IA,Female
48.0,White / Caucasian,8/24/10,CA,Female
28.0,White / Caucasian;Hispanic / Latino,12/21/12,CA,Female
36.0,White / Caucasian,1/5/17,OH,Male
51.0,Black / African American,10/10/17,KS,Female
48.0,Hispanic / Latino,5/27/07,AZ,Male
63.0,White / Caucasian,7/4/12,AK,Male
39.0,White / Caucasian,8/14/07,LA,Female
51.0,White / Caucasian,2/1/95,CO,Male
22.0,White / Caucasian,7/1/82,TX,Female
37.0,White / Caucasian,5/6/98,TX,Female
19.0,White / Caucasian,6/30/97,LA,Male
41.0,White / Caucasian,6/29/87,TX,Male
37.0,White / Caucasian,4/25/90,OK,Female
25.0,Native American / Alaskan Native,4/27/17,AK,Male
16.0,Hispanic / Latino,5/19/18,CA,Female
27.0,White / Caucasian,8/28/81,CA,Male
31.0,White / Caucasian,4/8/17,MS,Male
34.0,Black / African American,9/6/16,FL,Female
14.0,White / Caucasian,12/7/16,AK,Female
15.0,Hispanic / Latino,9/22/15,TN,Female
25.0,Hispanic / Latino,7/19/06,CA,Female
22.0,White / Caucasian,10/7/94,CA,Male
24.0,White / Caucasian,11/4/81,WA,Female
19.0,White / Caucasian,11/7/05,CA,Male
24.0,White / Caucasian,4/8/17,NY,Male
44.0,White / Caucasian,7/1/96,CA,Male
1.0,Black / African American,12/1/97,WI,Male
81.0,Black / African American,6/9/17,LA,Male
26.0,White / Caucasian,8/1/15,TX,Male
47.0,Other,6/23/85,CA,Male
62.0,White / Caucasian,6/13/09,CA,Male
26.0,Black / African American,12/1/06,AL,Female
61.0,White / Caucasian,12/16/11,FL,Female
28.0,Black / African American,3/25/12,AR,Female
54.0,Black / African American,9/3/09,NC,Male
33.0,Hispanic / Latino,5/21/82,CA,Male
42.0,White / Caucasian,7/14/99,AR,Female
21.0,White / Caucasian,11/27/83,TX,Male
50.0,White / Caucasian;Hispanic / Latino,5/2/12,AZ,Male
13.0,White / Caucasian,6/30/17,OR,Male
48.0,White / Caucasian,6/10/10,VT,Male
15.0,White / Caucasian,8/1/81,OK,Female
28.0,White / Caucasian,11/16/15,OK,Female
44.0,White / Caucasian,2/1/88,TX,Male
20.0,White / Caucasian,1/1/80,TX,Male
23.0,White / Caucasian,3/23/93,CA,Male
22.0,Black / African American,7/20/89,FL,Female
35.0,White / Caucasian,7/24/10,MI,Female
34.0,White / Caucasian,10/10/86,KY,Female
17.0,White / Caucasian,9/22/74,TX,Male
34.0,Black / African American,11/1/93,VA,Female
69.0,Black / African American,12/28/08,AR,Male
33.0,Asian,4/8/11,LA,Male
32.0,Other,7/4/88,WA,Female
32.0,White / Caucasian,12/13/06,OH,Male
24.0,White / Caucasian,8/14/94,NV,Female
14.0,Hispanic / Latino,10/2/14,IL,Female
19.0,White / Caucasian,5/31/86,OH,Male
37.0,White / Caucasian,7/12/17,OK,Male
25.0,Native American / Alaskan Native,9/29/16,AK,Male
17.0,Hispanic / Latino,9/24/16,AR,Male
47.0,White / Caucasian,5/5/98,CO,Male
25.0,Black / African American,12/2/16,MD,Male
28.0,Black / African American,7/1/78,NC,Female
54.0,White / Caucasian,8/7/15,AL,Male
2.0,White / Caucasian,6/22/97,CA,Male
38.0,Black / African American,10/10/17,GA,Female
44.0,White / Caucasian;Hispanic / Latino,1/1/12,AR,Female
31.0,White / Caucasian,1/8/14,WV,Female
41.0,White / Caucasian,12/22/17,OH,Male
51.0,White / Caucasian,8/23/13,MA,Male
26.0,White / Caucasian,9/30/90,WA,Female
73.0,White / Caucasian,12/10/09,MO,Male
28.0,Other,7/12/07,AZ,Female
31.0,Hispanic / Latino,8/24/09,AZ,Male
49.0,Hispanic / Latino,8/19/09,AZ,Male
34.0,White / Caucasian,10/1/82,OR,Male
33.0,White / Caucasian,2/4/17,MD,Female
20.0,White / Caucasian,6/12/84,FL,Female
42.0,White / Caucasian;Hispanic / Latino,12/24/07,CA,Male
40.0,White / Caucasian,11/20/15,FL,Male
40.0,Black / African American,5/30/00,CA,Female
31.0,White / Caucasian;Hispanic / Latino,2/10/04,CA,Male
20.0,White / Caucasian,9/1/02,AR,Female
50.0,White / Caucasian,11/17/10,WA,Male
7.0,Other,8/25/10,MD,Male
2.0,Other,9/7/14,MD,Male
55.0,White / Caucasian,5/30/12,NC,Female
37.0,White / Caucasian,1/10/89,FL,Male
59.0,White / Caucasian,9/25/67,MN,Male
35.0,White / Caucasian,10/22/92,NY,Female
30.0,White / Caucasian,3/12/85,CA,Male
20.0,White / Caucasian,11/15/07,CA,Male
43.0,White / Caucasian,12/3/11,KS,Male
34.0,White / Caucasian,7/10/93,WA,Male
73.0,White / Caucasian,1/2/17,AL,Male
56.0,Black / African American,2/20/17,CA,Male
52.0,White / Caucasian,5/14/18,AZ,Male
51.0,Black / African American,10/6/06,TX,Male
45.0,White / Caucasian,12/1/15,CA,Female
21.0,White / Caucasian,2/18/18,MS,Female
51.0,White / Caucasian,1/1/80,NV,Male
45.0,White / Caucasian,3/31/18,AK,Male
19.0,White / Caucasian,12/5/83,CA,Female
54.0,White / Caucasian,10/1/12,CA,Female
44.0,White / Caucasian,8/10/11,PA,Male
19.0,Black / African American,3/29/72,SC,Female
22.0,White / Caucasian,4/15/06,MN,Male
50.0,White / Caucasian,1/1/06,NJ,Female
46.0,White / Caucasian,10/1/85,MN,Female
18.0,White / Caucasian,7/11/82,MN,Male
22.0,White / Caucasian,7/18/80,MN,Female
37.0,White / Caucasian,10/17/00,NC,Female
31.0,Black / African American,11/16/16,ND,Male
21.0,White / Caucasian,5/10/15,PA,Male
5.0,White / Caucasian,9/23/07,TX,Male
20.0,Black / African American,4/1/09,CA,Female
45.0,Asian,1/15/12,LA,Female
18.0,Hispanic / Latino,6/6/11,AZ,Male
40.0,White / Caucasian;Hispanic / Latino,7/13/87,TX,Female
56.0,Native American / Alaskan Native,9/26/17,TX,Female
15.0,Hispanic / Latino,11/4/16,CA,Female
32.0,Native American / Alaskan Native,10/24/17,ND,Female
24.0,Black / African American,2/15/96,MD,Female
52.0,White / Caucasian,8/11/03,CA,Female
47.0,White / Caucasian,4/3/14,KY,Female
34.0,White / Caucasian,7/15/92,CO,Male
30.0,White / Caucasian,5/19/84,NV,Female
22.0,Black / African American,10/20/13,NY,Male
65.0,White / Caucasian,5/5/12,NC,Male
34.0,Hispanic / Latino,10/27/13,CA,Female
19.0,White / Caucasian;Hispanic / Latino,7/15/12,AZ,Male
25.0,White / Caucasian;Hispanic / Latino,7/26/94,NY,Male
19.0,White / Caucasian,3/12/74,WA,Female
33.0,Black / African American,12/28/84,NJ,Female
60.0,White / Caucasian,5/1/16,NV,Male
53.0,White / Caucasian,7/29/16,CA,Male
16.0,White / Caucasian;Hispanic / Latino,8/11/16,FL,Female
1.0,Black / African American,8/4/14,NC,Male
23.0,White / Caucasian,10/31/86,CA,Male
50.0,White / Caucasian,12/17/98,FL,Male
39.0,White / Caucasian;Hispanic / Latino,7/20/00,CA,Male
48.0,White / Caucasian,3/1/11,AR,Male
63.0,White / Caucasian,10/1/14,WI,Male
55.0,Black / African American,5/3/14,TX,Female
20.0,White / Caucasian,6/26/15,WA,Male
21.0,White / Caucasian,7/10/76,PA,Female
33.0,White / Caucasian,11/19/11,AZ,Male
28.0,White / Caucasian,7/2/11,IL,Male
25.0,White / Caucasian,10/29/90,FL,Male
22.0,White / Caucasian,12/18/83,LA,Male
59.0,White / Caucasian;Hispanic / Latino,12/17/14,TX,Female
17.0,Hispanic / Latino,4/30/16,MI,Female
40.0,White / Caucasian;Hispanic / Latino,8/9/16,CA,Male
36.0,Hispanic / Latino,11/16/16,CO,Female
20.0,White / Caucasian,3/14/78,MO,Female
35.0,Black / African American,4/2/16,TX,Male
46.0,White / Caucasian,12/21/12,CA,Male
32.0,Asian,4/5/15,OK,Female
33.0,White / Caucasian,6/6/02,TX,Female
25.0,White / Caucasian,5/12/00,WA,Male
70.0,White / Caucasian,11/27/77,VA,Male
7.0,White / Caucasian;Hispanic / Latino,6/15/12,TX,Male
49.0,White / Caucasian,6/12/14,CA,Female
16.0,Black / African American,6/21/96,IL,Male
26.0,Hispanic / Latino,12/6/77,CA,Male
24.0,White / Caucasian,4/13/93,IL,Male
30.0,White / Caucasian;Hispanic / Latino,5/3/00,CO,Male
14.0,Hispanic / Latino,8/29/17,OR,Female
39.0,Black / African American,4/1/15,GA,Male
21.0,White / Caucasian;Hispanic / Latino,8/5/15,TX,Female
24.0,White / Caucasian;Hispanic / Latino,3/1/10,TX,Male
34.0,Native American / Alaskan Native,9/1/95,WA,Male
79.0,White / Caucasian,4/21/14,CA,Male
30.0,White / Caucasian,10/24/64,WA,Female
52.0,White / Caucasian,9/12/14,OH,Male
67.0,Black / African American,12/1/80,IN,Male
35.0,White / Caucasian,3/22/13,GA,Male
20.0,White / Caucasian,12/1/79,CA,Male
44.0,White / Caucasian,2/9/13,FL,Male
33.0,Hispanic / Latino,6/10/12,AZ,Male
28.0,White / Caucasian,10/31/83,CA,Female
39.0,White / Caucasian,1/1/55,CA,Female
35.0,Hispanic / Latino,3/2/06,AZ,Male
42.0,White / Caucasian,5/25/85,PA,Male
44.0,Black / African American,4/5/99,TX,Female
24.0,White / Caucasian,6/24/78,WV,Female
70.0,White / Caucasian,4/14/18,CA,Male
55.0,White / Caucasian,11/15/96,NH,Male
28.0,Black / African American,10/5/17,IL,Female
1.0,White / Caucasian,4/4/14,KS,Female
36.0,Black / African American,10/17/15,TX,Female
25.0,Black / African American,1/1/86,TX,Male
26.0,White / Caucasian,7/5/73,CA,Male
58.0,White / Caucasian,3/3/97,WA,Male
46.0,Hispanic / Latino,10/14/11,AZ,Male
37.0,White / Caucasian,7/10/79,UT,Female
46.0,White / Caucasian;Hispanic / Latino,8/3/07,AZ,Male
23.0,White / Caucasian,10/1/93,WV,Female
19.0,Native American / Alaskan Native,9/23/77,AK,Male
37.0,White / Caucasian,3/15/79,SD,Male
6.0,White / Caucasian,8/11/09,MA,Male
44.0,White / Caucasian,9/14/12,AR,Female
48.0,Black / African American,3/1/10,TX,Male
25.0,White / Caucasian,1/3/00,TX,Male
65.0,White / Caucasian,8/30/14,NM,Male
18.0,White / Caucasian,1/14/76,VA,Male
20.0,White / Caucasian,1/6/88,AL,Male
32.0,White / Caucasian,9/17/98,MO,Female
29.0,White / Caucasian,10/29/86,CA,Male
68.0,White / Caucasian,8/16/11,AK,Male
16.0,Hispanic / Latino,3/22/17,CA,Male
17.0,White / Caucasian;Hispanic / Latino,7/2/16,TX,Male
24.0,White / Caucasian,8/19/86,FL,Female
52.0,White / Caucasian,2/14/82,TX,Male
18.0,White / Caucasian,9/13/82,TX,Female
46.0,White / Caucasian;Hispanic / Latino,10/14/00,NY,Female
53.0,White / Caucasian,12/6/10,OR,Male
31.0,White / Caucasian,10/3/69,CA,Female
52.0,Black / African American,8/24/17,SC,Male
24.0,White / Caucasian;Hispanic / Latino,1/16/06,AZ,Male
19.0,Native American / Alaskan Native,6/19/08,AZ,Male
53.0,White / Caucasian,5/27/14,OH,Female
28.0,Black / African American,8/4/15,MD,Male
18.0,White / Caucasian,11/10/76,VA,Male
17.0,White / Caucasian,2/5/83,WA,Male
32.0,White / Caucasian,1/1/92,SC,Female
2.0,White / Caucasian,11/25/08,TX,Male
49.0,White / Caucasian,12/22/86,NV,Female
20.0,White / Caucasian,10/28/17,OR,Male
38.0,White / Caucasian,12/30/88,WA,Male
26.0,White / Caucasian,11/20/91,MD,Male
27.0,White / Caucasian;Hispanic / Latino,9/8/10,AZ,Female
28.0,White / Caucasian;Hispanic / Latino,10/24/12,UT,Male
47.0,White / Caucasian,6/11/95,MA,Male
20.0,White / Caucasian,1/12/85,KS,Male
44.0,Hispanic / Latino,10/28/95,NC,Female
50.0,White / Caucasian,2/10/08,OR,Male
26.0,White / Caucasian,10/15/16,HI,Male
40.0,White / Caucasian,6/1/10,NV,Female
59.0,Black / African American,4/14/84,OK,Female
38.0,White / Caucasian,10/13/16,WA,Male
53.0,White / Caucasian,3/15/18,IL,Male
33.0,Asian,1/26/14,KY,Male
39.0,White / Caucasian,5/18/82,CO,Female
23.0,Hispanic / Latino,8/9/13,TX,Male
64.0,White / Caucasian,4/4/14,FL,Male
39.0,White / Caucasian,4/28/15,FL,Male
67.0,White / Caucasian,11/11/09,TN,Female
30.0,White / Caucasian,3/28/15,NC,Male
20.0,Hispanic / Latino,8/25/01,CA,Male
21.0,Black / African American,9/8/17,AZ,Female
33.0,White / Caucasian,9/21/92,TN,Female
26.0,Black / African American,7/1/89,MI,Female
36.0,White / Caucasian,8/24/14,ID,Male
25.0,Black / African American,7/5/14,TX,Male
39.0,Asian,4/13/97,AK,Male
24.0,White / Caucasian,11/12/17,FL,Male
45.0,White / Caucasian,11/23/16,SC,Female
37.0,White / Caucasian,10/24/17,MI,Female
49.0,White / Caucasian,8/10/17,FL,Male
32.0,White / Caucasian,4/10/16,CA,Female
16.0,White / Caucasian;Hispanic / Latino,11/25/15,PA,Female
41.0,White / Caucasian,10/6/16,MD,Male
39.0,White / Caucasian,1/1/95,IL,Male
16.0,White / Caucasian;Hispanic / Latino,10/6/14,FL,Male
37.0,Black / African American,6/20/95,CA,Female
22.0,Black / African American,12/27/98,IL,Female
58.0,White / Caucasian,5/18/13,FL,Male
41.0,White / Caucasian,4/14/15,FL,Female
50.0,White / Caucasian,5/25/05,CO,Male
16.0,Black / African American,1/16/76,FL,Female
25.0,White / Caucasian,11/19/84,FL,Female
28.0,White / Caucasian,12/2/71,ND,Male
46.0,White / Caucasian,7/22/84,CA,Male
47.0,White / Caucasian,11/10/13,MI,Male
85.0,Black / African American,12/16/77,NC,Male
31.0,White / Caucasian,4/6/85,IA,Male
64.0,White / Caucasian,2/27/07,OK,Male
20.0,Black / African American,5/4/84,NJ,Female
29.0,Hispanic / Latino,7/16/15,AZ,Male
26.0,White / Caucasian,7/15/80,TN,Male
57.0,White / Caucasian,8/29/17,SC,Female
15.0,White / Caucasian,5/2/81,MI,Female
48.0,White / Caucasian,1/20/94,FL,Male
69.0,White / Caucasian,11/1/02,IA,Male
22.0,Hispanic / Latino,10/12/88,CA,Male
47.0,Other,6/27/11,NY,Male
33.0,White / Caucasian,10/30/80,RI,Male
66.0,White / Caucasian,12/14/13,AK,Male
27.0,White / Caucasian,9/21/81,IN,Male
40.0,White / Caucasian,5/20/91,MI,Male
41.0,White / Caucasian,5/29/94,OR,Male
45.0,White / Caucasian,6/14/97,MI,Female
47.0,White / Caucasian,9/20/13,NY,Male
18.0,Black / African American,1/20/12,MI,Male
29.0,White / Caucasian,3/21/13,MO,Female
9.0,Hispanic / Latino,3/10/08,TX,Male
13.0,Native American / Alaskan Native,4/9/00,OK,Male
26.0,White / Caucasian;Hispanic / Latino,1/1/85,CA,Male
52.0,White / Caucasian,10/18/90,IL,Male
22.0,White / Caucasian;Hispanic / Latino,9/1/08,TX,Male
30.0,White / Caucasian,6/7/16,WV,Male
28.0,White / Caucasian,4/15/16,MO,Male
19.0,Black / African American,7/11/83,CA,Female
2.0,Hispanic / Latino,4/6/97,FL,Female
48.0,White / Caucasian,7/3/12,OK,Female
29.0,White / Caucasian,3/26/01,TN,Female
29.0,White / Caucasian,11/10/17,OH,Female
40.0,White / Caucasian,2/18/10,TX,Male
64.0,Black / African American,5/29/11,SC,Female
27.0,White / Caucasian;Hispanic / Latino,1/1/78,TX,Male
5.0,Hispanic / Latino,9/7/14,MS,Female
44.0,White / Caucasian,7/14/16,NC,Female
15.0,White / Caucasian;Hispanic / Latino,11/28/09,CA,Female
44.0,White / Caucasian,4/8/16,FL,Female
43.0,White / Caucasian,5/13/94,TX,Female
15.0,White / Caucasian,11/5/78,TN,Female
31.0,White / Caucasian;Hispanic / Latino,3/21/15,TX,Male
22.0,White / Caucasian,6/2/15,AZ,Male
42.0,White / Caucasian,8/25/01,CA,Male
19.0,Black / African American,9/9/81,CA,Female
40.0,Black / African American,3/29/14,MI,Male
37.0,White / Caucasian;Hispanic / Latino,10/27/13,AZ,Male
59.0,White / Caucasian,11/14/13,NY,Female
28.0,Native American / Alaskan Native,8/18/12,CA,Female
40.0,White / Caucasian,4/3/12,SD,Male
20.0,White / Caucasian,5/1/12,NV,Female
7.0,White / Caucasian;Hispanic / Latino,8/5/12,CT,Female
15.0,White / Caucasian,6/1/78,WA,Female
17.0,Black / African American,11/22/12,MO,Male
20.0,White / Caucasian,7/17/95,WA,Male
75.0,White / Caucasian,6/12/89,NV,Male
62.0,White / Caucasian,6/22/15,MD,Male
50.0,Asian,4/7/14,NJ,Male
65.0,White / Caucasian,3/14/17,PA,Male
46.0,White / Caucasian,1/21/92,CA,Female
24.0,White / Caucasian,1/14/93,WV,Male
58.0,White / Caucasian,10/1/03,IL,Male
15.0,Black / African American,4/1/15,MI,Male
56.0,White / Caucasian,2/8/99,IA,Male
67.0,White / Caucasian,7/1/07,NV,Male
